NOTITLE;Question 9 - How long have you lived in the Streetcar East Extension project area?;NOTITLE;Question 11 - Which bike facility do you prefer?;Question 12 - Please leave any questions or comments here that we can answer in the future. (Optional);Question 6B - Beltline at Ladybird Plan View - Comments/Concerns;Question 6G - Irwin at Beltline Plan View - Comments/Concerns;Question 6C - Beltline at Ponce de Leon Plan View - Comments/Concerns;Question 7 - When thinking about improving transit for the Streetcar East Extension project, what concerns you most? (Select all that apply);Question 4 - Do you support establishing full closure of sections of existing streets from vehicular traffic, to prioritize pedestrian/bike/transit movement in any of the following in-street portions of the proposed route? Select any street sections  below where you would support prioritizing pedestrian/bike/transit movements, by closing access to vehicles.;Question 8 - Choose the categories that best describe you. (Select all that apply);Question 3 - Do you support the partial closure of existing streets from vehicular traffic, to prioritize pedestrian/bike/transit movement in any of the following in-street portions of the proposed route?  For example, between 7-9 a.m., 4-6 p.m. weekdays, or 7 p.m. to midnight on weekends. Select any street  sections below where you would support prioritizing pedestrian/bike/transit movements, by limiting vehicle use.;Question 6H - Auburn at Irwin Stop Extended Bike Couplet Plan View - Comments/Concerns;NOTITLE;Question 6F - Edgewood Avenue Cycle Track Plan View - Comments/Concerns;Question 6D - Beltline at Ralph McGill Plan View - Comments/Concerns;Question 6E - Edgewood Avenue Extended Bike Couplet Plan View - Comments/Concerns;Question 10 - Choose the statement that best describes your transit usage. ;Question 6A - Beltline at Highland Plan View - Comments/Concerns;Question 5A - Where do you think streetcar stops should be located? (Rank them in order of importance, 1 being most important);Question 5B - If other, please describe:;NOTITLE;NOTITLE
;donotlive;;cycle-track;;;;;['Loss of property (full or partial)', 'Loss of trees/tree canopy'];['I do not support partial closures of existing streets to vehicular traffic'];['Commuter', 'Student', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;sometimes;;{'Other': '6', 'Near places with the highest number of jobs': '4', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '3'};;[{'x': -84.5162082712242, 'y': 33.3840087945454, 'type': 'home'}, {'x': -84.38601131594844, 'y': 33.75267803170295, 'type': 'work'}, {'x': -84.3930647024668, 'y': 33.76058489758942, 'type': 'meet'}, {'x': -84.39308927861082, 'y': 33.76163472793954, 'type': 'play'}];
;donotlive;;no-preference;;;;;['Loss of trees/tree canopy', 'Construction  impacts (e.g., traffic, business access)'];['Irwin Street, between Sampson Street and Krog Street'];['Retiree'];['Edgewood Avenue, between Jackson Street and Boulevard SE', 'Irwin Street, between Sampson Street and Krog Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '3', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.3688843253998, 'y': 33.75214078537558}, {'x': -84.36602636589309, 'y': 33.752943150790635}, {'x': -84.3707886413636, 'y': 33.75156945522425}, {'x': -84.36351527806752, 'y': 33.75352755591529}, {'x': -84.35899796880769, 'y': 33.75440456475743}, {'x': -84.35473928958396, 'y': 33.75615006596567}, {'x': -84.3778539339083, 'y': 33.76995910436059}, {'x': -84.37784465481899, 'y': 33.76841639357281}, {'x': -84.37783537572969, 'y': 33.76437435959735}, {'x': -84.377943310767, 'y': 33.76176784439966}, {'x': -84.37707367427164, 'y': 33.76142369257459}, {'x': -84.37437345928318, 'y': 33.76141597832145}, {'x': -84.37913469559992, 'y': 33.769802627296286, 'type': 'home'}, {'x': -84.3765597749456, 'y': 33.76848265833408, 'type': 'play'}, {'x': -84.37115432722231, 'y': 33.757064520760515, 'type': 'meet'}];
;donotlive;prioritizing the streetcar in the on-street segments/providing dedicated ROW for the streetcar!;cycle-track;"Possibly out of scope, but I'd love to see a cycle track ::ON:: the beltline itself! There is certainly demand for it and this would significantly enhance bike commuter mobility. Regarding the bike facilities in Question 11, I have two thoughts: 
1. It seems to me to be best to continue and expand upon the existing network, or at least keep future continuation in mind. Protected, two-way cycle tracks are great, but if it's just a brief segment, and cyclists are forced back into the conventional bike lanes or into shared car lanes after a 1/2 mile, this creates extra conflict points at intersections, and it seems to make more sense to continue the conventional bike lanes. 
2. Thought needs to be put into the larger network! Atlanta typically installs bike infrastructure in tiny segments that don't connect. An ideal network would link destinations to existing infrastructure, i.e. the beltline and FP trail.
Thanks for reading!!! Looking forward to your plans!!";;;;['other'];['Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed', 'Commuter'];['Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Irwin Street, between Sampson Street and Krog Street', 'other'];;All of existing streetcar route should be separated from car traffic! Edgewood and Auburn could still support one-way traffic as a pair.;;;;everyday;;{'Other': '6', 'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};Near existing MARTA bus/rail stops/stations.;[];
;donotlive;;no-preference;;;;;['Loss of trees/tree canopy'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed', 'Commuter'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'other'];;I strongly support this and would further encourage me to take more public transit and bike more in Atlanta. I would love to see this implemented elsewhere too!;My hope is for any cycletrack to be fully protected (concrete barriers, planters, or at least flex posts) to prevent drivers from injuring or killing cyclists.;;;sometimes;;{'Near places with the highest number of jobs': '3', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.36562474406817, 'y': 33.75456224206801, 'type': 'play'}, {'x': -84.36499677188255, 'y': 33.75751116248257, 'type': 'meet'}, {'x': -84.37202298603512, 'y': 33.763989566823945, 'type': 'work'}];
;morethanayear;;cycle-track;;;;;['Loss of trees/tree canopy', 'Impact to pedestrian/cyclist experience on the BeltLine trail'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '4', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '5'};;[{'x': -84.36064109300676, 'y': 33.755374766549636}, {'x': -84.36064109300676, 'y': 33.75548072579932}];
;morethanayear;;couplet;;;;;['Construction  impacts (e.g., traffic, business access)', 'Impact to pedestrian/cyclist experience on the BeltLine trail', 'Loss of trees/tree canopy'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed'];;;;;;;sometimes;;;;[{'x': -84.35840457267622, 'y': 33.76845590199606}, {'x': -84.35879081077437, 'y': 33.76966884758405}, {'x': -84.35921996421675, 'y': 33.771595255286144}, {'x': -84.3719014484395, 'y': 33.759286904974516}, {'x': -84.3720087368001, 'y': 33.75898363345136}, {'x': -84.37196582145586, 'y': 33.75755645893738}, {'x': -84.37196582145586, 'y': 33.756985582478826}, {'x': -84.37213748283281, 'y': 33.75566541610786}, {'x': -84.37209456748857, 'y': 33.75488044268211}, {'x': -84.37192290611162, 'y': 33.75982208739794}, {'x': -84.37196582145586, 'y': 33.761213546060915}, {'x': -84.37203019447222, 'y': 33.7620163003991}, {'x': -84.37316745109457, 'y': 33.761374097530016}, {'x': -84.37441199607751, 'y': 33.76139193656358}, {'x': -84.37576382942112, 'y': 33.76140977559343}, {'x': -84.37681525535498, 'y': 33.76142761461956}, {'x': -84.37200873680011, 'y': 33.75425602687008}, {'x': -84.37196582145587, 'y': 33.753595925209616}, {'x': -84.371450837325, 'y': 33.75277525119348}, {'x': -84.37125771827593, 'y': 33.75190104631848}, {'x': -84.37093585319413, 'y': 33.751240926527046}, {'x': -84.37033503837478, 'y': 33.74999203734366}, {'x': -84.36992734260451, 'y': 33.74936758593084}, {'x': -84.36919778175243, 'y': 33.74874312997065}, {'x': -84.37059253044022, 'y': 33.75061648420908}, {'x': -84.36844676322825, 'y': 33.74804730225844}, {'x': -84.36825364417918, 'y': 33.7477796747119}, {'x': -84.36816781349069, 'y': 33.74686973480628}, {'x': -84.36859696693308, 'y': 33.74685189275084}, {'x': -84.36956256217846, 'y': 33.746923260950346}, {'x': -84.36999171562087, 'y': 33.74678052449193}, {'x': -84.37130063362017, 'y': 33.74681620862881}, {'x': -84.3723091442098, 'y': 33.74672699825878}, {'x': -84.37368243522546, 'y': 33.74686973480628}, {'x': -84.36436980552533, 'y': 33.76383975124084, 'type': 'home'}, {'x': -84.38698619193885, 'y': 33.76016493688225, 'type': 'work'}, {'x': -84.36029284782246, 'y': 33.7651241152175, 'type': 'play'}, {'x': -84.3644985515578, 'y': 33.75513411030714, 'type': 'meet'}];
;morethanayear;;no-preference;;;;I'm concerned about pedestrian access to/from Ponce City Market. Right now it is a very vibrant space between Ford Factory Lofts retail, Kroger retail, and PCM. I'd hate to lose that activated public space due to restricted right of way;['Construction  impacts (e.g., traffic, business access)', 'Impact to pedestrian/cyclist experience on the BeltLine trail', 'Loss of trees/tree canopy'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;I'm concerned about pedestrian access along the beltline. This area gets very crowded already with people, bikes, scooters, pets, etc. ;;sometimes;;{'Other': '', 'Near places with the highest number of jobs': '3', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.36372607536154, 'y': 33.77358713158162}, {'x': -84.36371266431647, 'y': 33.77361611587809}, {'x': -84.36387091464833, 'y': 33.7735938202663}, {'x': -84.36440735645132, 'y': 33.7734511282134}, {'x': -84.36501890010672, 'y': 33.77340653689813}, {'x': -84.3656197149261, 'y': 33.77338870036552}, {'x': -84.3663385469421, 'y': 33.77346004647368}, {'x': -84.3669286329254, 'y': 33.773468964733006}, {'x': -84.36751871890874, 'y': 33.77350463776109}, {'x': -84.36772256679389, 'y': 33.773540310774315}, {'x': -84.37090903110371, 'y': 33.773691920914814}, {'x': -84.37053352184162, 'y': 33.773843530787}, {'x': -84.37014728374346, 'y': 33.77387028544248}, {'x': -84.36969667262896, 'y': 33.77387028544248}, {'x': -84.36928897685867, 'y': 33.77381677612317}, {'x': -84.36893492526872, 'y': 33.77370975738428}, {'x': -84.3683233816133, 'y': 33.77362949324239}, {'x': -84.36791568584302, 'y': 33.7735492290253}, {'x': -84.36225622482172, 'y': 33.776644400447196, 'type': 'home'}, {'x': -84.39472168273802, 'y': 33.79180353694114, 'type': 'work'}, {'x': -84.36541050262333, 'y': 33.77247070832856, 'type': 'meet'}, {'x': -84.36394065208356, 'y': 33.7565856319775, 'type': 'play'}];
;donotlive;;couplet;;;;;['Loss of trees/tree canopy'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '4', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '5'};;[];
;donotlive;None of the above.  These are typical NIMBY concerns which are often not founded on fact but on fear.  Would have been great to have a none of these concern me box for people like me to check.;cycle-track;So excited about the possibility of additional streetcars.  We need more than this, but it is a good place to start. I couldn't get the question 1 and 2 maps to function properly, so wanted to comment here too.  I do not live in the exact area, but do work and play in it.  I ride my bike all of the time, and it would be amazing to have bike paths and street cars in the area to really help ease traffic and give people an alternate way to get around.  It is going to be essential for our city to have better transportation as we continue to grow.  I think this is just the start and if people can see it being successful on the beltline it can succeed other places.   ;""" ";"""";"""";['other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'other'];"""";I think a dedicated bike lane would be an improvement beyond a partial closure, but also support that if necessary.;"""";"""";"""";sometimes;I am not a transportation specialist so don't know enough to provide an educated response. ;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '1', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};I am not sure if number of residents or jobs are more important so ranked them the same.  I love this as a start, but would love to see this on the entire beltline, particularly areas that are not as redeveloped already since the street car will serve as a more needed form of transportation.  But support all efforts for the street car since we have to start somewhere.  Love that this is finally being put for for public comment, and I strongly support effort. ;[{'x': -84.34892195798021, 'y': 33.760661648092416}, {'x': -84.34863227940659, 'y': 33.760310577813115}, {'x': -84.34029970648237, 'y': 33.75939918396013, 'type': 'home'}];
;morethanayear;;no-preference;"These streetcars need as much right of way / signal control / non-lane splitting with cars as possible. 

How do we ensure that the inadequate speeds of the existing streetcar do not plague the extension. ";;"I trust the professionals, but it seems like the stop at Auburn/Irwin seems to favor SPX Alley businesses over Krog Street Market, and it doesn't seem to make sense. A stop on Irwin/Beltline would seem to support Jakes/Krog Street Market better, and the future extension of streetcar south on beltline should stop at SPX to serve those businesses from the beltline side.
Get rid of all the on-street parking.";;['Impact to pedestrian/cyclist experience on the BeltLine trail', 'Construction  impacts (e.g., traffic, business access)'];['Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Irwin Street, between Sampson Street and Krog Street'];;;;;;sometimes;;{'Other': '', 'Near places with the highest number of jobs': '3', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '4', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '1'};;[{'x': -84.36968057937486, 'y': 33.77785745327446, 'type': 'home'}, {'x': -84.3648091014408, 'y': 33.77282329045441, 'type': 'meet'}, {'x': -84.36522930445832, 'y': 33.76671466354968, 'type': 'play'}];
;donotlive;;cycle-track;;;;;;['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Edgewood Avenue, between Jackson Street and Boulevard SE', 'Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;everyday;;{'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.3690026842495, 'y': 33.78178152990434}, {'x': -84.3701925435881, 'y': 33.779877976138025}, {'x': -84.36964102957221, 'y': 33.77935202006106}, {'x': -84.36657457986225, 'y': 33.7723196240316, 'type': 'meet'}, {'x': -84.3667306355107, 'y': 33.77857198918143, 'type': 'play'}];
;donotlive;;couplet;;;;;['Impact to pedestrian/cyclist experience on the BeltLine trail'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '4', 'Near places with a high number of community facilities (parks, churches, recreational)': '3'};;[{'x': -84.38329547233435, 'y': 33.77246238464993}, {'x': -84.38342421836705, 'y': 33.771302989258}, {'x': -84.38742249815702, 'y': 33.77130298953017}, {'x': -84.38887446708554, 'y': 33.769864128823414}, {'x': -84.38176801374873, 'y': 33.77252231981912}, {'x': -84.38280194980462, 'y': 33.772021668619644, 'type': 'home'}, {'x': -84.38800185792341, 'y': 33.77082362047248, 'type': 'work'}, {'x': -84.3744133378204, 'y': 33.78632135924318, 'type': 'play'}, {'x': -84.36635367580297, 'y': 33.77210246598991, 'type': 'meet'}];
;donotlive;;no-preference;;;;;['Construction  impacts (e.g., traffic, business access)'];['Irwin Street, between Sampson Street and Krog Street'];['Employed', 'Commuter'];['Edgewood Avenue, between Jackson Street and Boulevard SE'];;;;;;everyday;;{'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '4', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '5'};;[{'x': -84.38568800277564, 'y': 33.78132696535629, 'type': 'work'}, {'x': -84.3991486859152, 'y': 33.703238599140676, 'type': 'home'}];
Auburn Avenue could be fully pedestrian/transit. I would like to see glen iris become one lane of traffic and one lane of multi-use;morethanayear;Whther or not he extension will operate more like a ROW separated transit line or continue to be subjected to traffic congestion and become inefficient.;cycle-track;Why is the live work play sticker map only allowing one use of each icon? Provides insufficient demand node capture for me and likely many others.;"DO NOT CALL THIS STATION LANDYBIRD; IT IS A RESTAURANT THAT STEALS INDEPENDENT BLACK BUSINESS OWNER'S IDEAS WITHOUT ANY ATTRIBUTION.

Location is fine.";PUT THE STOP ON IRWIN STREET. having a station on the grade that is Auburn Ave is inconvenient to ADA users as well as going to be more stressful on the rail vehicles and track sections from the uphill starts. If we have ice or snow would the trains be able to start? (I know the system would likely shut down but I am thinking about safety at the beginning or inclement weather events.;Need 5x as wide pedestrian crossings of tracks as well as gate arms at the crossings here. I see severe safety concerns with the already popular nature of this area on weekends and can sense that you will have constant people trying to rush around the trains.;['Impact to pedestrian/cyclist experience on the BeltLine trail', 'Impacts to current property values', 'other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'other'];['Commuter', 'Employed'];['Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Irwin Street, between Sampson Street and Krog Street', 'other'];Make the bike lanes protected and one-way Irwin.;Auburn Avenue could be fully pedestrian/transit. I would like to see glen iris become one lane of traffic and one lane of multi-use;would like to see physical barrier on N-S route connecting to E-W bike lane on Edgewood;Acceptable. Include secondary elevator from GA power redevelopment to station boarding area or internal elevator at redevelopment to bring people up to track height;No strong opinions;sometimes;Move it further north to the grassy area between townhome and directly across from the freedom parkway beltline trail connections.;{'Other': ' 3', 'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '4', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '2'};At least every half mile along the route (+/-) regardless of nodes.;[{'x': -84.36810344047403, 'y': 33.77052614895295}, {'x': -84.36776011772014, 'y': 33.770811542564054}, {'x': -84.36776011772014, 'y': 33.76720837846728}, {'x': -84.36776011772014, 'y': 33.764425633202755}, {'x': -84.36776011772014, 'y': 33.761000591912435}, {'x': -84.36797469444133, 'y': 33.762356353789414}, {'x': -84.36784594840861, 'y': 33.75925234099508}, {'x': -84.36797469444133, 'y': 33.75782517095485}, {'x': -84.36484187431192, 'y': 33.757611093399454}, {'x': -84.36488478965616, 'y': 33.75818196569248}, {'x': -84.3642410594926, 'y': 33.75736133557581}, {'x': -84.36432689018108, 'y': 33.7561838960346}, {'x': -84.3641123134599, 'y': 33.75497075959314}, {'x': -84.36398356742717, 'y': 33.75400737430791}, {'x': -84.36758845634317, 'y': 33.755969814380556}, {'x': -84.36694472617961, 'y': 33.756576377678535}, {'x': -84.36600058860637, 'y': 33.75743269502825}, {'x': -84.36711638755656, 'y': 33.77116828324116}, {'x': -84.36488478965616, 'y': 33.771346653022725}, {'x': -84.36321109123088, 'y': 33.77138232693448}, {'x': -84.36132281608441, 'y': 33.771489348580616}, {'x': -84.35994952506879, 'y': 33.771489348580616}, {'x': -84.36887591667033, 'y': 33.771525022432954}, {'x': -84.3704208690629, 'y': 33.771525022432954}, {'x': -84.37222331352092, 'y': 33.771525022432954}, {'x': -84.37424033470012, 'y': 33.771560696270434}, {'x': -84.37617152519083, 'y': 33.771418000831375}, {'x': -84.37763064689494, 'y': 33.771346653022725}, {'x': -84.37896102256632, 'y': 33.771810412716945}, {'x': -84.37509864158487, 'y': 33.77255955768955}, {'x': -84.3729957897172, 'y': 33.77352273445783}, {'x': -84.37175124473428, 'y': 33.77373677226914}, {'x': -84.36964839286661, 'y': 33.77402215518576}, {'x': -84.36861842460489, 'y': 33.77366542639146}, {'x': -84.36690181083536, 'y': 33.773701099337735}, {'x': -84.3642410594926, 'y': 33.77359408045434}, {'x': -84.3622240383134, 'y': 33.77412917353441}, {'x': -84.36029284782266, 'y': 33.77398648237318}, {'x': -84.36565726585246, 'y': 33.76727972972178}, {'x': -84.36484187431192, 'y': 33.76538890140456}, {'x': -84.3602070171342, 'y': 33.76182118718928}, {'x': -84.35741751975871, 'y': 33.76463969373882}, {'x': -84.37218039817665, 'y': 33.7605367737156}, {'x': -84.36827510185098, 'y': 33.74851230313485}, {'x': -84.36488478965616, 'y': 33.76868556029107, 'type': 'play'}, {'x': -84.36454146690225, 'y': 33.75794670432913, 'type': 'meet'}, {'x': -84.36690181083536, 'y': 33.78002946789173, 'type': 'work'}, {'x': -84.36999171562051, 'y': 33.78605753705126, 'type': 'home'}];
;morethanayear;;no-preference;;;;;['Loss of trees/tree canopy', 'Loss of property (full or partial)'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;everyday;;{'Other': '', 'Near places with the highest number of jobs': '4', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '3', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '1'};;[{'x': -84.27901118583561, 'y': 33.77509121789514}, {'x': -84.2878302890769, 'y': 33.77291517629888}, {'x': -84.29203599281236, 'y': 33.777516904032744}, {'x': -84.3042668659207, 'y': 33.77553712123478}, {'x': -84.30433123893704, 'y': 33.775412268533636}, {'x': -84.25519316978338, 'y': 33.775776235944626, 'type': 'home'}, {'x': -84.29708927459595, 'y': 33.77574056386243, 'type': 'work'}, {'x': -84.2978241998658, 'y': 33.771856677067944, 'type': 'meet'}, {'x': -84.2696288187013, 'y': 33.7700016242316, 'type': 'play'}];
;donotlive;;no-preference;;;;;['Impact to pedestrian/cyclist experience on the BeltLine trail', 'Loss of trees/tree canopy'];['Irwin Street, between Sampson Street and Krog Street'];['Employed'];['Irwin Street, between Sampson Street and Krog Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.36385398320414, 'y': 33.75365279227615}, {'x': -84.36547051704979, 'y': 33.766071209830095, 'type': 'play'}, {'x': -84.35807851664299, 'y': 33.76273103810383, 'type': 'meet'}];
